Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
105.859375,0,5.72E-06,1.49E-05,-4.156968612,5.72
106.25,0,4.41E-06,1.49E-05,-5.28809627,4.41
106.640625,0,5.87E-06,1.49E-05,-4.041948086,5.87
107.03125,0,7.14E-06,1.49E-05,-3.19268775,7.14
107.421875,0,6.94E-06,1.49E-05,-3.320165147,6.94
107.8125,0,6.09E-06,1.49E-05,-3.888346969,6.09
108.203125,0,5.45E-06,1.49E-05,-4.367869771,5.45
108.59375,0,6.82E-06,1.49E-05,-3.396589805,6.82
108.984375,0,7.49E-06,1.49E-05,-2.989762452,7.49
109.375,0,7.13E-06,1.49E-05,-3.201033779,7.13
109.765625,0,4.83E-06,1.49E-05,-4.889299366,4.83
110.15625,0,6.02E-06,1.49E-05,-3.934080175,6.02
110.546875,0,7.27E-06,1.49E-05,-3.118804151,7.27
110.9375,0,7.69E-06,1.49E-05,-2.872991242,7.69
111.328125,0,6.12E-06,1.49E-05,-3.862482533,6.12
111.71875,0,5.36E-06,1.49E-05,-4.43965494,5.36
112.109375,0,7.31E-06,1.49E-05,-3.095503532,7.31
112.5,0,8.54E-06,1.49E-05,-2.415168959,8.54
112.890625,0,7.96E-06,1.49E-05,-2.725049226,7.96
113.28125,0,6.02E-06,1.49E-05,-3.933909274,6.02
113.671875,0,5.63E-06,1.49E-05,-4.226245735,5.63
114.0625,0,8.87E-06,1.49E-05,-2.250876441,8.87
114.453125,0,8.99E-06,1.49E-05,-2.196612267,8.99
114.84375,0,7.43E-06,1.49E-05,-3.020463254,7.43
115.234375,0,4.86E-06,1.49E-05,-4.865105927,4.86
115.625,0,7.37E-06,1.49E-05,-3.054622278,7.37
116.015625,0,8.93E-06,1.49E-05,-2.222188834,8.93
116.40625,0,8.10E-06,1.49E-05,-2.648756457,8.1
116.796875,0,5.82E-06,1.49E-05,-4.079460364,5.82
117.1875,0,5.95E-06,1.49E-05,-3.987083544,5.95
117.578125,0,8.23E-06,1.49E-05,-2.577867498,8.23
117.96875,0,8.34E-06,1.49E-05,-2.518303466,8.34
118.359375,0,7.13E-06,1.49E-05,-3.20302788,7.13
118.75,0,4.21E-06,1.49E-05,-5.48971024,4.21
119.140625,0,7.00E-06,1.49E-05,-3.283740882,7
119.53125,0,8.41E-06,1.49E-05,-2.485363358,8.41
119.921875,0,1.49E-05,1.49E-05,-0.011811953,14.9
120.3125,0,6.52E-06,1.49E-05,-3.589561914,6.52
120.703125,0,5.62E-06,1.49E-05,-4.234392115,5.62
121.09375,0,7.78E-06,1.49E-05,-2.821507415,7.78
121.484375,0,7.74E-06,1.49E-05,-2.84657513,7.74
121.875,0,6.80E-06,1.49E-05,-3.409833217,6.8
122.265625,0,4.99E-06,1.49E-05,-4.752339652,4.99
122.65625,0,6.94E-06,1.49E-05,-3.318049586,6.94
123.046875,0,8.03E-06,1.49E-05,-2.685109635,8.03
123.4375,0,8.01E-06,1.49E-05,-2.697382989,8.01
123.828125,0,6.52E-06,1.49E-05,-3.588645425,6.52
124.21875,0,5.56E-06,1.49E-05,-4.279293613,5.56
124.609375,0,7.76E-06,1.49E-05,-2.832626534,7.76
125,0,8.45E-06,1.49E-05,-2.460830324,8.45
125.390625,0,7.52E-06,1.49E-05,-2.972465346,7.52
125.78125,0,5.64E-06,1.49E-05,-4.221087269,5.64
126.171875,0,6.91E-06,1.49E-05,-3.335001112,6.91
126.5625,0,8.15E-06,1.49E-05,-2.620639375,8.15
126.953125,0,7.96E-06,1.49E-05,-2.723620874,7.96
