Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
94.140625,0,5.52E-07,4.79E-06,-9.38418623,0.552
94.53125,0,6.18E-07,4.79E-06,-8.889985479,0.618
94.921875,0,6.18E-07,4.79E-06,-8.895962318,0.618
95.3125,0,5.20E-07,4.79E-06,-9.640360318,0.52
95.703125,0,4.19E-07,4.79E-06,-10.58000858,0.419
96.09375,0,6.01E-07,4.79E-06,-9.016091314,0.601
96.484375,0,6.21E-07,4.79E-06,-8.871713271,0.621
96.875,0,5.84E-07,4.79E-06,-9.136405409,0.584
97.265625,0,3.82E-07,4.79E-06,-10.9870689,0.382
97.65625,0,4.46E-07,4.79E-06,-10.31081289,0.446
98.046875,0,5.77E-07,4.79E-06,-9.189409522,0.577
98.4375,0,5.21E-07,4.79E-06,-9.635570616,0.521
98.828125,0,3.22E-07,4.79E-06,-11.71975371,0.322
99.21875,0,5.11E-07,4.79E-06,-9.718061807,0.511
99.609375,0,4.44E-07,4.79E-06,-10.33353668,0.444
100,0,5.31E-07,4.79E-06,-9.551793285,0.531
100.390625,0,5.32E-07,4.79E-06,-9.546194393,0.532
100.78125,0,3.62E-07,4.79E-06,-11.21381552,0.362
101.171875,0,3.62E-07,4.79E-06,-11.21803936,0.362
101.5625,0,4.98E-07,4.79E-06,-9.827352602,0.498
101.953125,0,4.99E-07,4.79E-06,-9.821300187,0.499
102.34375,0,4.44E-07,4.79E-06,-10.3284457,0.444
102.734375,0,3.34E-07,4.79E-06,-11.56113274,0.334
103.125,0,4.65E-07,4.79E-06,-10.12563635,0.465
103.515625,0,5.40E-07,4.79E-06,-9.475901175,0.54
103.90625,0,5.02E-07,4.79E-06,-9.796721996,0.502
104.296875,0,4.97E-07,4.79E-06,-9.839903099,0.497
104.6875,0,3.36E-07,4.79E-06,-11.54087241,0.336
105.078125,0,6.88E-07,4.79E-06,-8.429575191,0.688
105.46875,0,5.03E-07,4.79E-06,-9.789592474,0.503
105.859375,0,3.84E-07,4.79E-06,-10.9588657,0.384
106.25,0,3.02E-07,4.79E-06,-12.00368694,0.302
106.640625,0,4.06E-07,4.79E-06,-10.71787659,0.406
107.03125,0,4.21E-07,4.79E-06,-10.56164533,0.421
107.421875,0,4.69E-07,4.79E-06,-10.09530727,0.469
107.8125,0,4.41E-07,4.79E-06,-10.35516172,0.441
108.203125,0,2.81E-07,4.79E-06,-12.31095386,0.281
108.59375,0,3.61E-07,4.79E-06,-11.22758782,0.361
108.984375,0,4.50E-07,4.79E-06,-10.27458887,0.45
109.375,0,4.03E-07,4.79E-06,-10.7554751,0.403
109.765625,0,2.82E-07,4.79E-06,-12.30038204,0.282
110.15625,0,3.22E-07,4.79E-06,-11.72390364,0.322
110.546875,0,3.45E-07,4.79E-06,-11.42317066,0.345
110.9375,0,3.29E-07,4.79E-06,-11.63415196,0.329
111.328125,0,2.61E-07,4.79E-06,-12.63700331,0.261
111.71875,0,2.72E-07,4.79E-06,-12.45906341,0.272
112.109375,0,3.46E-07,4.79E-06,-11.40636536,0.346
112.5,0,3.73E-07,4.79E-06,-11.08816742,0.373
112.890625,0,4.05E-07,4.79E-06,-10.72655359,0.405
113.28125,0,4.75E-07,4.79E-06,-10.03887647,0.475
113.671875,0,3.57E-07,4.79E-06,-11.28064913,0.357
114.0625,0,3.70E-07,4.79E-06,-11.12351461,0.37
114.453125,0,3.36E-07,4.79E-06,-11.5354137,0.336
114.84375,0,2.31E-07,4.79E-06,-13.16024525,0.231
115.234375,0,1.63E-07,4.79E-06,-14.68678979,0.163
115.625,0,2.22E-07,4.79E-06,-13.33235882,0.222
116.015625,0,3.04E-07,4.79E-06,-11.96986609,0.304
116.40625,0,2.62E-07,4.79E-06,-12.62523327,0.262
116.796875,0,1.72E-07,4.79E-06,-14.44333388,0.172
117.1875,0,1.81E-07,4.79E-06,-14.23331939,0.181
117.578125,0,2.75E-07,4.79E-06,-12.40331367,0.275
