Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
121.484375,0,2.02E-06,5.03E-06,-3.95423141,2.02
121.875,0,1.70E-06,5.03E-06,-4.721918175,1.7
122.265625,0,9.83E-07,5.03E-06,-7.092108056,0.983
122.65625,0,1.46E-06,5.03E-06,-5.38206809,1.46
123.046875,0,1.80E-06,5.03E-06,-4.459636128,1.8
123.4375,0,1.75E-06,5.03E-06,-4.576726172,1.75
123.828125,0,1.33E-06,5.03E-06,-5.775723651,1.33
124.21875,0,1.03E-06,5.03E-06,-6.887096786,1.03
124.609375,0,1.59E-06,5.03E-06,-5.013250489,1.59
125,0,1.72E-06,5.03E-06,-4.654695221,1.72
125.390625,0,1.43E-06,5.03E-06,-5.45397871,1.43
125.78125,0,9.22E-07,5.03E-06,-7.366340482,0.922
126.171875,0,1.09E-06,5.03E-06,-6.627638929,1.09
126.5625,0,1.47E-06,5.03E-06,-5.336870243,1.47
126.953125,0,1.52E-06,5.03E-06,-5.186844793,1.52
127.34375,0,1.23E-06,5.03E-06,-6.132114371,1.23
127.734375,0,8.10E-07,5.03E-06,-7.931099362,0.81
128.125,0,1.20E-06,5.03E-06,-6.230861541,1.2
128.515625,0,1.40E-06,5.03E-06,-5.555916687,1.4
128.90625,0,1.29E-06,5.03E-06,-5.911820033,1.29
129.296875,0,9.03E-07,5.03E-06,-7.456516531,0.903
129.6875,0,8.63E-07,5.03E-06,-7.654008111,0.863
130.078125,0,1.23E-06,5.03E-06,-6.13236242,1.23
130.46875,0,1.30E-06,5.03E-06,-5.880932554,1.3
130.859375,0,9.72E-07,5.03E-06,-7.139468498,0.972
131.25,0,7.68E-07,5.03E-06,-8.163791033,0.768
131.640625,0,1.01E-06,5.03E-06,-6.982668959,1.01
132.03125,0,1.15E-06,5.03E-06,-6.425145093,1.15
132.421875,0,1.11E-06,5.03E-06,-6.565632142,1.11
132.8125,0,7.37E-07,5.03E-06,-8.3425291,0.737
133.203125,0,9.08E-07,5.03E-06,-7.4335751,0.908
133.59375,0,1.10E-06,5.03E-06,-6.604738813,1.1
133.984375,0,1.10E-06,5.03E-06,-6.600560827,1.1
134.375,0,8.41E-07,5.03E-06,-7.766346995,0.841
134.765625,0,4.98E-07,5.03E-06,-10.04359573,0.498
135.15625,0,9.19E-07,5.03E-06,-7.380580535,0.919
135.546875,0,1.10E-06,5.03E-06,-6.593950608,1.1
135.9375,0,9.73E-07,5.03E-06,-7.134183674,0.973
136.328125,0,6.13E-07,5.03E-06,-9.141327329,0.613
136.71875,0,8.39E-07,5.03E-06,-7.775705131,0.839
137.109375,0,9.29E-07,5.03E-06,-7.336442353,0.929
137.5,0,9.51E-07,5.03E-06,-7.23251447,0.951
137.890625,0,7.81E-07,5.03E-06,-8.089247919,0.781
138.28125,0,3.70E-07,5.03E-06,-11.32981084,0.37
138.671875,0,9.67E-07,5.03E-06,-7.159426882,0.967
139.0625,0,1.01E-06,5.03E-06,-6.968627958,1.01
139.453125,0,8.00E-07,5.03E-06,-7.986898769,0.8
139.84375,0,4.76E-07,5.03E-06,-10.23642818,0.476
140.234375,0,7.77E-07,5.03E-06,-8.1089116,0.777
140.625,0,8.97E-07,5.03E-06,-7.486487097,0.897
141.015625,0,8.64E-07,5.03E-06,-7.649959384,0.864
141.40625,0,6.31E-07,5.03E-06,-9.014671211,0.631
141.796875,0,2.35E-07,5.03E-06,-13.30742286,0.235
142.1875,0,1.03E-06,5.03E-06,-6.870839891,1.03
142.578125,0,9.25E-07,5.03E-06,-7.352720465,0.925
142.96875,0,7.15E-07,5.03E-06,-8.475016914,0.715
143.359375,0,4.09E-07,5.03E-06,-10.90008444,0.409
143.75,0,1.04E-06,5.03E-06,-6.844678364,1.04
144.140625,0,1.21E-06,5.03E-06,-6.175922707,1.21
144.53125,0,1.04E-06,5.03E-06,-6.827784735,1.04
144.921875,0,6.66E-07,5.03E-06,-8.781696662,0.666
145.3125,0,3.01E-07,5.03E-06,-12.23123138,0.301
145.703125,0,1.19E-06,5.03E-06,-6.258327486,1.19
146.09375,0,1.29E-06,5.03E-06,-5.920592953,1.29
146.484375,0,1.09E-06,5.03E-06,-6.62174887,1.09
146.875,0,6.66E-07,5.03E-06,-8.782697917,0.666
147.265625,0,2.57E-07,5.03E-06,-12.91792724,0.257
147.65625,0,1.37E-06,5.03E-06,-5.648914836,1.37
148.046875,0,1.26E-06,5.03E-06,-6.007106826,1.26
148.4375,0,9.48E-07,5.03E-06,-7.248009718,0.948
148.828125,0,5.23E-07,5.03E-06,-9.828995857,0.523
149.21875,0,1.29E-06,5.03E-06,-5.920471454,1.29
149.609375,0,1.54E-06,5.03E-06,-5.138566677,1.54
150,0,1.44E-06,5.03E-06,-5.426816397,1.44
150.390625,0,9.08E-07,5.03E-06,-7.435690041,0.908
150.78125,0,5.59E-07,5.03E-06,-9.543202145,0.559
151.171875,0,1.55E-06,5.03E-06,-5.119196472,1.55
151.5625,0,1.70E-06,5.03E-06,-4.711463995,1.7
151.953125,0,1.50E-06,5.03E-06,-5.249448963,1.5
152.34375,0,1.02E-06,5.03E-06,-6.919331267,1.02
152.734375,0,1.38E-06,5.03E-06,-5.610417159,1.38
153.125,0,1.86E-06,5.03E-06,-4.325917026,1.86
153.515625,0,1.79E-06,5.03E-06,-4.497298162,1.79
153.90625,0,1.42E-06,5.03E-06,-5.489222594,1.42
154.296875,0,9.54E-07,5.03E-06,-7.220385486,0.954
154.6875,0,1.63E-06,5.03E-06,-4.890306879,1.63
155.078125,0,2.05E-06,5.03E-06,-3.905725768,2.05
155.46875,0,1.98E-06,5.03E-06,-4.056037148,1.98
155.859375,0,1.39E-06,5.03E-06,-5.600301074,1.39
156.25,0,6.76E-07,5.03E-06,-8.713570666,0.676
156.640625,0,1.85E-06,5.03E-06,-4.33414219,1.85
157.03125,0,2.11E-06,5.03E-06,-3.767381698,2.11
157.421875,0,1.91E-06,5.03E-06,-4.202359441,1.91
157.8125,0,1.27E-06,5.03E-06,-5.970610715,1.27
158.203125,0,1.49E-06,5.03E-06,-5.27459311,1.49
158.59375,0,2.19E-06,5.03E-06,-3.603479896,2.19
158.984375,0,2.27E-06,5.03E-06,-3.462222257,2.27
159.375,0,1.73E-06,5.03E-06,-4.628328295,1.73
159.765625,0,1.02E-06,5.03E-06,-6.925988198,1.02
160.15625,0,1.86E-06,5.03E-06,-4.323484054,1.86
160.546875,0,2.41E-06,5.03E-06,-3.192142695,2.41
160.9375,0,2.33E-06,5.03E-06,-3.337550838,2.33
161.328125,0,1.64E-06,5.03E-06,-4.858265523,1.64
161.71875,0,1.51E-06,5.03E-06,-5.224679572,1.51
162.109375,0,2.31E-06,5.03E-06,-3.378080694,2.31
162.5,0,2.59E-06,5.03E-06,-2.880999016,2.59
162.890625,0,2.28E-06,5.03E-06,-3.44287358,2.28
163.28125,0,1.46E-06,5.03E-06,-5.378536544,1.46
163.671875,0,1.83E-06,5.03E-06,-4.400660227,1.83
164.0625,0,2.62E-06,5.03E-06,-2.834042974,2.62
164.453125,0,2.66E-06,5.03E-06,-2.767087168,2.66
164.84375,0,2.00E-06,5.03E-06,-4.012281972,2
165.234375,0,1.16E-06,5.03E-06,-6.365633536,1.16
165.625,0,2.09E-06,5.03E-06,-3.80734022,2.09
166.015625,0,2.64E-06,5.03E-06,-2.802609275,2.64
166.40625,0,2.46E-06,5.03E-06,-3.102787017,2.46
166.796875,0,1.63E-06,5.03E-06,-4.889327286,1.63
167.1875,0,1.53E-06,5.03E-06,-5.158255853,1.53
167.578125,0,2.40E-06,5.03E-06,-3.209474328,2.4
167.96875,0,2.59E-06,5.03E-06,-2.882636936,2.59
168.359375,0,2.18E-06,5.03E-06,-3.633948714,2.18
168.75,0,1.50E-07,5.03E-06,-15.26054722,0.15
169.140625,0,1.78E-06,5.03E-06,-4.506076468,1.78
