Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
128.90625,0,4.00E-05,8.40E-05,-3.224608296,40
129.296875,0,3.19E-05,8.40E-05,-4.211125836,31.9
129.6875,0,3.51E-05,8.40E-05,-3.785277093,35.1
130.078125,0,4.32E-05,8.40E-05,-2.886858736,43.2
130.46875,0,4.49E-05,8.40E-05,-2.722753084,44.9
130.859375,0,3.96E-05,8.40E-05,-3.26991058,39.6
131.25,0,3.08E-05,8.40E-05,-4.363203463,30.8
131.640625,0,4.16E-05,8.40E-05,-3.050943039,41.6
132.03125,0,4.78E-05,8.40E-05,-2.451785055,47.8
132.421875,0,4.62E-05,8.40E-05,-2.597141179,46.2
132.8125,0,3.77E-05,8.40E-05,-3.479112109,37.7
133.203125,0,3.76E-05,8.40E-05,-3.487469143,37.6
133.59375,0,4.74E-05,8.40E-05,-2.483464034,47.4
133.984375,0,5.05E-05,8.40E-05,-2.210573146,50.5
134.375,0,4.53E-05,8.40E-05,-2.677127205,45.3
134.765625,0,3.43E-05,8.40E-05,-3.884533228,34.3
135.15625,0,4.40E-05,8.40E-05,-2.80552597,44
135.546875,0,5.15E-05,8.40E-05,-2.127295899,51.5
135.9375,0,5.08E-05,8.40E-05,-2.184930356,50.8
136.328125,0,4.22E-05,8.40E-05,-2.985924947,42.2
136.71875,0,3.81E-05,8.40E-05,-3.432010235,38.1
137.109375,0,4.91E-05,8.40E-05,-2.332127424,49.1
137.5,0,5.34E-05,8.40E-05,-1.967384357,53.4
137.890625,0,4.90E-05,8.40E-05,-2.339881148,49
138.28125,0,3.79E-05,8.40E-05,-3.453628578,37.9
138.671875,0,4.44E-05,8.40E-05,-2.773798844,44.4
139.0625,0,5.33E-05,8.40E-05,-1.977300683,53.3
139.453125,0,5.40E-05,8.40E-05,-1.921324204,54
139.84375,0,4.61E-05,8.40E-05,-2.601735533,46.1
140.234375,0,3.80E-05,8.40E-05,-3.450231059,38
140.625,0,5.03E-05,8.40E-05,-2.228430771,50.3
141.015625,0,5.61E-05,8.40E-05,-1.754254379,56.1
141.40625,0,5.27E-05,8.40E-05,-2.020756762,52.7
141.796875,0,4.18E-05,8.40E-05,-3.033740554,41.8
142.1875,0,4.42E-05,8.40E-05,-2.791237672,44.2
142.578125,0,5.41E-05,8.40E-05,-1.907867048,54.1
142.96875,0,5.58E-05,8.40E-05,-1.77285892,55.8
143.359375,0,4.86E-05,8.40E-05,-2.380063318,48.6
143.75,0,3.57E-05,8.40E-05,-3.713290526,35.7
144.140625,0,4.86E-05,8.40E-05,-2.375403531,48.6
144.53125,0,5.51E-05,8.40E-05,-1.827611744,55.1
144.921875,0,5.28E-05,8.40E-05,-2.020001823,52.8
145.3125,0,4.26E-05,8.40E-05,-2.946192752,42.6
145.703125,0,4.13E-05,8.40E-05,-3.087798515,41.3
146.09375,0,5.17E-05,8.40E-05,-2.108947674,51.7
146.484375,0,5.45E-05,8.40E-05,-1.877337149,54.5
146.875,0,4.87E-05,8.40E-05,-2.367694093,48.7
147.265625,0,3.67E-05,8.40E-05,-3.595156053,36.7
147.65625,0,4.62E-05,8.40E-05,-2.592375112,46.2
148.046875,0,5.39E-05,8.40E-05,-1.926071347,53.9
148.4375,0,5.31E-05,8.40E-05,-1.993566357,53.1
148.828125,0,4.40E-05,8.40E-05,-2.803528948,44
149.21875,0,3.92E-05,8.40E-05,-3.305349036,39.2
149.609375,0,5.04E-05,8.40E-05,-2.221499304,50.4
150,0,5.45E-05,8.40E-05,-1.881752541,54.5
150.390625,0,4.97E-05,8.40E-05,-2.28131706,49.7
150.78125,0,3.81E-05,8.40E-05,-3.432817061,38.1
151.171875,0,4.38E-05,8.40E-05,-2.828638787,43.8
151.5625,0,5.19E-05,8.40E-05,-2.091173674,51.9
151.953125,0,5.18E-05,8.40E-05,-2.099168297,51.8
152.34375,0,4.36E-05,8.40E-05,-2.850517573,43.6
152.734375,0,3.53E-05,8.40E-05,-3.764901864,35.3
153.125,0,4.59E-05,8.40E-05,-2.623894941,45.9
153.515625,0,5.03E-05,8.40E-05,-2.229799905,50.3
153.90625,0,4.66E-05,8.40E-05,-2.559401564,46.6
154.296875,0,3.64E-05,8.40E-05,-3.629771473,36.4
154.6875,0,3.84E-05,8.40E-05,-3.399117589,38.4
155.078125,0,4.63E-05,8.40E-05,-2.588380797,46.3
155.46875,0,4.73E-05,8.40E-05,-2.495719661,47.3
155.859375,0,4.09E-05,8.40E-05,-3.130467213,40.9
156.25,0,3.06E-05,8.40E-05,-4.392675028,30.6
156.640625,0,4.09E-05,8.40E-05,-3.123766695,40.9
157.03125,0,4.61E-05,8.40E-05,-2.609917495,46.1
157.421875,0,4.40E-05,8.40E-05,-2.809528694,44
157.8125,0,3.56E-05,8.40E-05,-3.730677275,35.6
158.203125,0,3.47E-05,8.40E-05,-3.840276658,34.7
158.59375,0,4.30E-05,8.40E-05,-2.905014806,43
158.984375,0,4.53E-05,8.40E-05,-2.679054473,45.3
159.375,0,4.05E-05,8.40E-05,-3.169244302,40.5
159.765625,0,3.06E-05,8.40E-05,-4.385343005,30.6
